aleph_bsn_number,handle
005037783,http://hdl.handle.net/2333.1/fj6q59fx
005054611,http://hdl.handle.net/2333.1/k98sfb0h
005054626,http://hdl.handle.net/2333.1/q2bvqbgd
005055272,http://hdl.handle.net/2333.1/tqjq2f8s
005055273,http://hdl.handle.net/2333.1/zgmsbfrp
005055486,http://hdl.handle.net/2333.1/70rxwgmz
005055635,http://hdl.handle.net/2333.1/brv15h5r
005055642,http://hdl.handle.net/2333.1/ghx3fhrc
005055672,http://hdl.handle.net/2333.1/m905qj7j
005055688,http://hdl.handle.net/2333.1/qz612n0p
005057843,http://hdl.handle.net/2333.1/n5tb2tq7
005057845,http://hdl.handle.net/2333.1/wpzgmvqf
005057846,http://hdl.handle.net/2333.1/1g1jww2n
005837741,http://hdl.handle.net/2333.1/905qfx5r
005837761,http://hdl.handle.net/2333.1/dr7sqxnm
005014696,http://hdl.handle.net/2333.1/xpnvx300
005014705,http://hdl.handle.net/2333.1/2fqz63c9
005033407,http://hdl.handle.net/2333.1/qbzkh3nf
005037257,http://hdl.handle.net/2333.1/gqnk9c41
005037313,http://hdl.handle.net/2333.1/f7m0cjgc
005682780,http://hdl.handle.net/2333.1/w0vt4dps
005887614,http://hdl.handle.net/2333.1/0p2nghb4
005887787,http://hdl.handle.net/2333.1/4f4qrht1
005887834,http://hdl.handle.net/2333.1/cz8w9jvm
005888341,http://hdl.handle.net/2333.1/k0p2njz8
006004823,http://hdl.handle.net/2333.1/w6m909kc
006004864,http://hdl.handle.net/2333.1/rfj6q91v
006005364,http://hdl.handle.net/2333.1/mpg4f8g8
006005392,http://hdl.handle.net/2333.1/gxd257zx
006005425,http://hdl.handle.net/2333.1/c59zw7fk
006005449,http://hdl.handle.net/2333.1/7d7wm6zg
005888334,http://hdl.handle.net/2333.1/3ffbgc2w
005888648,http://hdl.handle.net/2333.1/zpc86bph
006016010,http://hdl.handle.net/2333.1/hhmgqsb4
006016036,http://hdl.handle.net/2333.1/crjdfrv1
006016046,http://hdl.handle.net/2333.1/80gb5rbx
006016102,http://hdl.handle.net/2333.1/47d7wqs6
006016169,http://hdl.handle.net/2333.1/0gb5mq82
004317466,http://hdl.handle.net/2333.1/66t1g3wj
004317444,http://hdl.handle.net/2333.1/q573n85b
004319323,http://hdl.handle.net/2333.1/73n5tddm
004319325,http://hdl.handle.net/2333.1/bvq83dwm
004319326,http://hdl.handle.net/2333.1/gmsbcfbg
004319327,http://hdl.handle.net/2333.1/mcvdnfvm
004319328,http://hdl.handle.net/2333.1/vx0k6gzr
004319784,http://hdl.handle.net/2333.1/mkkwh9c7
004240336,http://hdl.handle.net/2333.1/pg4f4t4g
004319940,http://hdl.handle.net/2333.1/6t1g1ncn
004319941,http://hdl.handle.net/2333.1/4mw6mc9f
004319942,http://hdl.handle.net/2333.1/8cz8wcsb
004163212,http://hdl.handle.net/2333.1/ht76hh4c
